id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
1072470,-12.12,22-Apr,10.25,22.37,9,0,0,16,,41,0,58,2018-2022
1203995,-24,Feb-37,16,40,1,0,0,16,,16,0,8,2021-2022
233901,,,30.38,,5,,0,65*,,395,0,,2022-2022
348152,-11.31,13-Apr,7.75,19.06,5,0,0,18*,,31,0,29,2020-2022
43685,,-,,,4,0,0,11*,,11,0,0,2011-2011
433614,,Mar-40,,13.33,0,0,,,,,0,3,2021-2021
318845,,,36.78,,13,,2,109,,699,0,,2014-2022
698143,-45,22-Feb,8,53,3,0,0,8*,,8,0,5,2019-2021
379145,-18.76,24-May,2.25,21.01,12,1,0,4*,,9,0,73,2017-2022
481803,,-,,,0,0,,,,,0,0,2021-2021
337790,,,36,,14,,0,94*,,1044,0,,2018-2022
379887,,Mar-35,,23.11,2,0,0,2*,,4,0,9,2021-2021
