id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
10617,-17.83,23-May,12.3,30.13,27,1,0,45*,,529,0,178,2006-2016
911707,,,28.66,,0,,0,80,,86,0,,2023-2023
308967,,,41.61,,196,,11,162*,,4536,34,,2012-2023
665053,,,48.5,,4,,0,58*,,97,0,,2021-2021
211855,-44.2,Feb-70,12.6,56.8,2,0,0,20,,63,0,5,2016-2022
662973,-21.46,May-48,21.83,43.3,4,1,0,95*,,262,0,20,2018-2023
521637,,,24.33,,3,,0,63,,146,0,,2016-2023
364788,,,,,2,,0,61*,,61,1,,2019-2019
249866,,,37.79,,27,,6,171,,2419,0,,2014-2019
288992,-23.82,29-May,12.26,36.08,19,1,0,38*,,184,0,46,2013-2022
403902,7.08,Feb-30,31.25,24.16,6,0,0,66*,,250,0,6,2021-2022
643885,-9.92,Apr-42,10,19.92,1,0,0,12,,20,0,14,2020-2021
232438,,,23.25,,12,,0,79,,372,0,,2013-2023
495964,-8.81,10-May,22.85,31.66,16,1,0,59,,617,0,18,2017-2023
293831,,,22,,53,,1,102,,1188,5,,2008-2022
425639,-25.61,Apr-33,6.62,32.23,8,0,0,23,,192,0,105,2013-2023
1059122,-60.16,Jan-38,5.5,65.66,1,0,0,6*,,11,0,3,2022-2022
55354,-23.47,25-Apr,23.12,46.6,34,0,0,99,,2474,0,35,2005-2023
55412,,,32.39,,51,,3,130*,,2948,0,,2010-2023
696127,-24.75,May-54,14.42,39.18,4,1,0,33*,,101,0,11,2022-2023
541224,-20.69,6-May,13.03,33.73,10,1,0,46,,352,0,38,2014-2023
465327,,-,29.53,,3,0,1,110,,384,0,0,2022-2023
493765,,,15.75,,2,,0,42,,126,0,,2022-2022
1045883,,,21,,2,,0,24,,42,0,,2022-2023
938959,-37.74,Feb-40,19.48,57.22,5,0,0,72,,487,0,9,2020-2023
946507,,,13.9,,1,,0,45,,139,0,,2021-2023
571703,-33.65,21-Apr,5.66,39.32,7,0,0,15,,68,0,25,2015-2023
806239,-25,Feb-30,13,38,2,0,0,20,,52,0,7,2018-2023
1122853,,-,18.4,,1,0,0,30*,,92,0,0,2022-2022
596375,,-,20.53,,12,0,0,60,,308,0,0,2016-2022
235516,,,19.31,,24,,0,74,,618,5,,2014-2020
827051,-26.54,May-49,3.36,29.91,11,1,0,17,,64,0,46,2018-2022
596456,,29-Jan,,80,0,0,,,,,0,1,2019-2019
670013,-74.18,Feb-40,15.38,89.57,10,0,0,51,,200,0,7,2018-2022
314650,-38,29-Jan,17,55,1,0,0,31,,85,0,1,2021-2022
806241,-31.56,Mar-52,10.8,42.36,4,0,0,34*,,108,0,30,2017-2023
431909,,-,11.5,,2,0,0,12*,,23,0,0,2015-2022
348024,-112.2,Jan-56,27.8,140,3,0,0,78,,278,0,1,2016-2017
230555,,,34.7,,11,,1,101*,,694,0,,2022-2022
